用例ID,优先级,测试日期时区,测试人,环境版本,预期,实际,PASS/FAIL/BLOCKED/SKIP,request_id,session_id,message_id,question_id,file/job_id,费用,证据位置,缺陷及备注
A01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,401 UNAUTHORIZED，统一 error 对象,无/坏Key均401；requests.jsonl,PASS,req_01M34VZTATFMRNVJJSR1SEPHHG;req_01M34VZVQZ2E6Y92T85SXD788F,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
A02,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,404 NOT_FOUND；正文 request_id 与 X-Request-Id 可关联,未知会话/路由404且request_id匹配,PASS,req_01M34VZX4H7FYWKZ0R4W3PDWQM;req_01M34VZYH3Q53SN12H6R0VTV2Z,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
A03,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,允许 Authorization/Content-Type；浏览器实际请求可读响应,OPTIONS两个Origin通过；真实localhost浏览器跨域上传/建会话/答卡通过,PASS,req_01M34VZZYDS54FY0M28Q1221NG;req_01M34W01AW39XCMD9YDYRAR5JP,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
A04,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,按契约拒绝，不能泄漏正文；没有第二套授权身份则 SKIP,无第二套作用域/工作区测试身份，未新建凭据,SKIP,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
F01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,201；大小正确；下载哈希等于源文件,两张PNG下载后字节哈希一致；F01-red/blue.json,PASS,req_01M34W02QBEQ76M401ZYB4APD6;req_01M34W04HZ9Y3W1QGB2YZFVFDX,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
F02,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,202；历史有两个 input，模型正常识别两个,两附件同消息，模型识别红/蓝两图,PASS,,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
F03,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,两个独立 fil ID，两个 input，不按名称/大小误合并,同名same-name.png均82字节，两个input完整保留,PASS,,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
F04,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,两次上传成功；两个可勾选项；发送正文携带两个 ID,浏览器多选两个临时副本，上传201/201，同消息发送202,PASS,,ses_7YBWV3YFXDRX5TYCS7CJ14FAX3,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
F05,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,400 INVALID_REQUEST；不能开始执行,重复ID、21个ID均400,PASS,req_01M34W0NPGJZYT9YP04015TMRV;req_01M34W0Q2YQ1S3NRS25BCRD8WK,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
F06,P2,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,空文件 400；不支持格式 415；看实际 MIME 与扩展名组合,空PNG400、TXT415,PASS,req_01M34W0JX5ZXKYQ8DWCZ57SNR0;req_01M34W0MA68JDSQSM7BXJCC15B,ses_7YBWV3ZNE1J5CNC3B7WZZ75P1G,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
F07,P2,2026-09-23 00:28–00:31 Asia/Shanghai,Codex 实测,frontend f233fb0 / backend d92cd11 / HEAD6687bdd,上限内可上传，上限外 413；需隔离测试流量,200MiB 201/119.337秒；多1字节413；下载Range206,PASS,req_01M34Z5P9ZEA8C16BZNV0FB2HF;req_01M34Z99TY1PSMS131226R513R,,,,fil_01M34Z66V26QD1XC58J9A69ZHH,,本包evidence/,原失败已定向复测关闭，详见报告
S01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,201，idle，初始积分 0；缺省 medium，metadata 保留,默认/high/medium/low四会话201，初始idle/0积分,PASS,req_01M34W068EGMEKZZR30A7YSNVD;req_01M34W07NYSWPS466466BZECWZ;req_01M34W093CWPAG14HA734RSD8B,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
S02,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,high/medium 1080p；low 768p，禁止误标为 1080p,落库映射已验证：high video-sd-1080p-pro/1080p，medium wan3.0-video/1080p，low MiniMax-H3/768p；本轮实际付费作业未执行,BLOCKED,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
S03,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,400；metadata 键长≤64、值长≤512,非法quality、metadata键数/类型/键值长度均400,PASS,req_01M34W0BYTDXJV07EJ10RZ5H8T;req_01M34W0DBBTDXV76FN92XY2E1T;req_01M34W0ER2HTMAH0E6261J0ZH8,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
H01,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,时间倒序，无重无漏；按 has_more/next_cursor 结束,limit=2走31页，61个唯一ID、倒序、has_more最终false；运行中随后新建preflight会话不在初始分页快照中,PASS,req_01M34W5ES4TEHB6F626B1E7325;req_01M34W5HBVWF46FP1FCC629KC8;req_01M34W5KYVX42NVW3AQKKKKWA8,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
H02,P1,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,400 INVALID_REQUEST,非法cursor、limit0/101均400,PASS,req_01M34W0SXETAG30CD5GM53ZESJ;req_01M34W0VACP75QC23KBW5J2T00;req_01M34W0WR0QHKMMPMHQMZ3QVEW,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
H03,P0,2026-09-22 23:32起 Asia/Shanghai,Codex 实测,d92cd11 / 8f3e54a,展示该会话多轮文本、卡片、文件；处理中自动轮询,恢复旧视频8条消息/2卡/1final；打开忙碌超时会话自动轮询,PASS,,,,,,,evidence/,仅按本轮证据计数；BLOCKED含部分核对已完成
H04,P1,2026-09-23 00:28–00:31 Asia/Shanghai,Codex 实测,frontend f233fb0 / backend d92cd11 / HEAD6687bdd,不空白、不混入其他会话，不发出新生成请求,连续重开两次均2条；切换8条旧历史再切回仍2条,PASS,,ses_7YBWV3YFXDRX5TYCS7CJ14FAX3,,,,,本包evidence/,原失败已定向复测关闭，详见报告
